distance,PL,category
20.530,86.679,0.0
22.280,68.738,1.0
26.180,87.254,0.0
6.160,57.417,1.0
7.270,58.640,1.0
8.540,63.981,1.0
10.040,63.421,1.0
11.700,65.216,1.0
16.180,67.404,1.0
18.990,70.635,1.0
8.050,63.913,1.0
9.260,64.622,1.0
11.170,63.746,1.0
11.170,63.746,1.0
12.680,67.173,1.0
15.150,62.304,1.0
9.420,61.433,1.0
10.480,63.771,1.0
12.190,63.729,1.0
13.590,65.520,1.0
17.590,68.901,1.0
20.210,77.279,0.0
11.700,65.096,1.0
15.350,67.449,1.0
17.450,68.009,1.0
15.150,67.732,1.0
16.390,67.680,1.0
17.450,68.009,1.0
20.720,69.450,1.0
22.990,72.025,1.0
20.530,69.702,1.0
21.460,69.480,1.0
22.280,68.738,1.0
24.930,83.392,0.0
26.840,87.332,0.0
20.010,69.575,1.0
8.360,60.044,1.0
7.340,58.662,1.0
13.740,81.319,1.0
12.030,64.357,1.0
14.130,65.883,1.0
12.190,64.314,1.0
16.720,68.222,1.0
15.120,67.735,1.0
17.590,68.018,1.0
20.720,69.450,1.0
19.330,69.035,1.0
22.210,66.733,1.0
16.180,67.183,1.0
18.050,68.329,1.0
20.140,86.566,0.0
23.250,66.892,1.0
21.850,68.716,1.0
24.930,83.392,0.0
25.540,88.313,0.0
20.010,70.410,1.0
16.750,68.241,1.0
18.450,71.533,1.0
15.410,67.301,1.0
16.140,67.110,1.0
16.660,68.167,1.0
18.040,68.142,1.0
18.450,68.666,1.0
21.460,67.066,1.0
22.210,66.733,1.0
19.330,69.035,1.0
12.870,65.024,1.0
14.340,65.560,1.0
15.120,67.735,1.0
13.590,66.927,1.0
16.900,68.267,1.0
20.310,86.850,0.0
22.750,75.174,1.0
14.850,67.140,1.0
14.620,66.156,1.0
23.780,66.516,1.0
20.010,70.018,1.0
20.800,80.558,0.0
21.110,77.594,0.0
21.460,69.071,1.0
24.340,69.469,1.0
23.780,66.516,1.0
14.680,66.318,1.0
15.120,71.149,1.0
21.460,67.066,1.0
15.250,67.632,1.0
17.110,68.170,1.0
18.050,68.329,1.0
10.040,63.247,1.0
10.850,63.699,1.0
12.560,66.573,1.0
13.440,66.078,1.0
19.330,68.838,1.0
7.270,58.757,1.0
9.370,62.677,1.0
10.040,63.586,1.0
20.010,69.575,1.0
18.990,68.878,1.0
20.210,69.677,1.0
22.990,72.025,1.0
13.440,65.813,1.0
14.340,65.756,1.0
14.340,65.561,1.0
14.450,65.665,1.0
20.310,69.704,1.0
20.140,69.647,1.0
20.800,69.614,1.0
14.720,66.564,1.0
15.410,67.301,1.0
16.140,67.110,1.0
14.060,66.136,1.0
13.440,66.508,1.0
14.620,76.789,1.0
14.850,64.029,1.0
16.390,67.607,1.0
18.670,68.494,1.0
8.710,62.530,1.0
8.990,61.203,1.0
9.370,62.102,1.0
9.840,65.562,1.0
10.380,62.518,1.0
10.990,62.788,1.0
11.650,65.477,1.0
6.780,59.596,1.0
6.990,60.246,1.0
8.990,61.373,1.0
9.690,62.630,1.0
10.430,63.177,1.0
6.400,58.710,1.0
6.630,61.450,1.0
6.990,60.246,1.0
7.480,62.186,1.0
8.050,64.003,1.0
8.710,62.346,1.0
9.420,61.542,1.0
10.190,61.931,1.0
10.990,62.772,1.0
11.820,64.114,1.0
12.680,66.264,1.0
13.550,66.698,1.0
19.940,69.726,1.0
17.110,69.345,1.0
18.050,68.338,1.0
7.480,62.250,1.0
7.800,59.248,1.0
8.240,60.020,1.0
8.760,61.111,1.0
10.760,64.811,1.0
11.520,67.283,1.0
12.320,64.842,1.0
13.140,67.274,1.0
13.990,61.900,1.0
9.690,62.748,1.0
10.040,63.465,1.0
8.760,61.335,1.0
8.360,59.926,1.0
9.840,65.989,1.0
15.510,67.081,1.0
22.210,66.733,1.0
18.040,68.142,1.0
18.670,68.494,1.0
6.400,58.710,1.0
6.780,59.596,1.0
7.870,59.986,1.0
15.250,68.385,1.0
12.560,66.755,1.0
10.850,63.852,1.0
14.450,63.912,1.0
