distance,PL,category
2.440,91.221,1.0
4.570,88.982,1.0
6.390,101.631,1.0
8.300,95.047,1.0
10.240,102.463,1.0
15.160,100.539,1.0
18.130,111.998,1.0
2.680,92.607,1.0
5.010,93.690,1.0
6.860,92.856,1.0
8.780,98.073,1.0
10.720,101.730,1.0
15.650,104.118,1.0
18.620,106.647,1.0
7.540,104.897,1.0
8.820,104.621,0.0
10.800,104.522,0.0
12.360,109.762,0.0
16.660,139.827,0.0
19.400,137.690,0.0
7.690,98.127,0.0
9.110,100.414,0.0
11.180,105.469,0.0
12.760,144.660,0.0
17.110,108.196,0.0
19.870,109.245,0.0
14.060,132.231,0.0
15.380,107.189,0.0
16.510,107.903,0.0
19.940,140.526,0.0
22.280,145.267,0.0
22.690,142.333,0.0
19.740,145.155,0.0
20.700,127.668,0.0
21.550,146.342,0.0
24.280,168.408,0.0
26.230,146.056,0.0
19.200,111.927,1.0
19.870,148.105,0.0
20.900,135.717,0.0
21.790,147.242,0.0
24.590,145.522,0.0
26.580,140.951,0.0
19.260,145.874,0.0
13.740,107.766,0.0
13.480,123.670,0.0
23.090,154.053,0.0
20.330,109.577,0.0
14.020,101.501,0.0
23.380,141.155,0.0
14.450,106.514,0.0
19.200,111.927,1.0
18.130,111.998,1.0
19.400,137.690,0.0
22.280,145.267,0.0
12.200,105.805,1.0
13.180,98.598,1.0
19.510,145.369,0.0
19.330,147.027,0.0
19.260,145.874,0.0
18.160,101.396,1.0
19.590,108.730,0.0
22.570,141.515,0.0
12.690,110.619,1.0
13.670,116.183,1.0
19.620,146.804,0.0
19.410,145.723,0.0
20.010,136.726,0.0
19.120,107.570,1.0
16.140,101.410,1.0
17.140,101.544,1.0
20.170,109.316,0.0
16.640,100.685,1.0
17.630,103.479,1.0
7.860,99.900,0.0
8.290,104.622,0.0
2.990,89.868,1.0
3.730,92.893,1.0
5.470,97.695,1.0
14.170,101.652,1.0
11.210,103.028,1.0
9.260,103.249,1.0
7.340,96.451,1.0
9.420,105.130,0.0
10.090,139.342,0.0
11.560,105.052,0.0
13.180,137.480,0.0
15.770,139.663,0.0
14.890,106.139,0.0
18.480,142.274,0.0
8.060,100.460,0.0
8.550,113.324,0.0
3.340,91.030,1.0
4.140,90.699,1.0
5.930,92.805,1.0
14.660,108.952,1.0
11.700,103.926,1.0
9.750,101.848,1.0
7.420,94.510,1.0
9.750,110.284,0.0
10.440,112.481,0.0
11.950,101.631,0.0
13.600,107.309,0.0
16.210,133.755,0.0
15.320,133.689,0.0
18.940,140.475,0.0
19.120,107.570,1.0
20.330,109.577,0.0
22.550,144.446,0.0
24.910,146.282,0.0
25.560,146.988,0.0
7.340,96.451,1.0
19.150,102.605,1.0
20.510,142.594,0.0
22.820,146.971,0.0
25.230,146.442,0.0
25.890,146.311,0.0
7.820,94.136,1.0
26.230,146.056,0.0
26.930,141.046,0.0
21.110,156.700,0.0
22.030,146.295,0.0
23.670,143.984,0.0
2.990,89.868,1.0
3.730,92.893,1.0
4.570,88.982,1.0
5.470,97.695,1.0
6.390,101.631,1.0
8.300,95.047,1.0
9.260,103.249,1.0
10.240,102.463,1.0
11.210,103.028,1.0
12.200,105.805,1.0
3.340,91.030,1.0
4.140,90.699,1.0
5.010,93.690,1.0
5.930,92.805,1.0
6.860,92.856,1.0
8.780,98.073,1.0
9.750,101.848,1.0
10.720,101.730,1.0
11.700,103.926,1.0
12.690,110.619,1.0
2.680,92.607,1.0
13.180,98.598,1.0
14.170,101.652,1.0
15.160,100.539,1.0
16.140,101.410,1.0
17.140,101.544,1.0
13.670,116.183,1.0
14.660,108.952,1.0
15.650,104.118,1.0
16.640,100.685,1.0
17.630,103.479,1.0
7.540,104.897,1.0
7.860,99.900,0.0
8.290,104.622,0.0
8.820,104.621,0.0
9.420,105.130,0.0
10.800,104.522,0.0
11.560,105.052,0.0
12.360,109.762,0.0
13.180,137.480,0.0
14.020,101.501,0.0
14.890,106.139,0.0
15.770,139.663,0.0
16.660,139.827,0.0
17.570,147.364,0.0
18.480,142.274,0.0
7.690,98.127,0.0
8.060,100.460,0.0
8.550,113.324,0.0
9.110,100.414,0.0
9.750,110.284,0.0
11.180,105.469,0.0
11.950,101.631,0.0
12.760,144.660,0.0
13.600,107.309,0.0
14.450,106.514,0.0
15.320,133.689,0.0
16.210,133.755,0.0
17.110,108.196,0.0
18.020,136.865,0.0
18.940,140.475,0.0
7.420,94.510,1.0
10.440,112.481,0.0
19.870,109.245,0.0
7.890,100.679,1.0
8.140,96.143,0.0
8.500,108.392,0.0
8.960,103.155,0.0
9.500,105.384,0.0
10.110,127.362,0.0
10.780,105.541,0.0
11.500,114.334,0.0
12.250,102.232,0.0
13.040,104.341,0.0
13.860,107.461,0.0
14.700,106.810,0.0
15.560,107.361,0.0
16.430,128.323,0.0
17.320,146.306,0.0
18.220,130.618,0.0
19.130,133.553,0.0
20.050,108.871,0.0
8.000,104.253,1.0
8.310,100.115,0.0
8.720,103.498,0.0
9.220,104.037,0.0
9.800,104.802,0.0
11.130,119.903,0.0
11.870,105.737,0.0
12.650,106.623,0.0
13.450,116.087,0.0
14.280,106.665,0.0
15.990,128.450,0.0
16.880,107.986,0.0
17.770,132.385,0.0
18.680,120.763,0.0
19.590,108.730,0.0
6.950,94.446,1.0
7.230,100.254,0.0
7.640,105.086,0.0
8.140,105.405,0.0
8.730,123.413,0.0
9.390,99.635,0.0
10.110,127.362,0.0
10.870,105.601,0.0
11.670,138.690,0.0
12.500,134.777,0.0
13.350,136.731,0.0
14.220,101.078,0.0
15.100,142.108,0.0
16.000,137.345,0.0
16.910,133.661,0.0
17.830,139.026,0.0
18.760,136.928,0.0
19.700,149.046,0.0
7.080,96.135,1.0
7.420,100.090,0.0
7.880,105.031,0.0
8.430,100.637,0.0
9.060,102.485,0.0
10.490,111.232,0.0
11.270,110.326,0.0
12.080,110.498,0.0
12.920,131.443,0.0
13.780,102.686,0.0
15.550,137.288,0.0
16.460,133.626,0.0
17.370,108.518,0.0
18.300,142.398,0.0
19.230,142.304,0.0
12.740,100.467,1.0
12.890,100.738,0.0
13.120,107.586,0.0
13.420,136.773,0.0
13.790,135.196,0.0
14.220,101.078,0.0
14.700,106.810,0.0
15.230,142.568,0.0
15.810,108.240,0.0
16.430,108.703,0.0
17.090,109.512,0.0
17.780,98.954,1.0
18.490,146.345,0.0
19.230,139.073,0.0
20.000,143.439,0.0
20.780,145.115,0.0
21.580,139.810,0.0
22.400,146.733,0.0
12.800,103.059,1.0
13.000,104.424,0.0
13.260,139.665,0.0
13.600,144.439,0.0
14.000,106.397,0.0
14.960,106.937,0.0
15.520,134.765,0.0
16.120,108.513,0.0
16.760,108.385,0.0
17.430,104.093,0.0
18.860,141.102,0.0
19.610,139.912,0.0
20.390,135.882,0.0
21.180,147.597,0.0
21.990,149.780,0.0
13.720,104.178,1.0
13.860,105.382,0.0
14.080,108.799,0.0
14.360,107.646,0.0
14.700,106.959,0.0
15.100,142.108,0.0
15.560,107.361,0.0
16.060,102.519,0.0
16.610,113.199,0.0
17.210,110.397,0.0
17.830,110.131,0.0
18.490,146.345,0.0
19.180,108.053,1.0
19.900,118.895,0.0
20.640,140.536,0.0
21.400,141.109,0.0
22.180,140.675,0.0
22.980,146.264,0.0
13.780,108.763,1.0
13.960,103.567,0.0
14.210,107.450,0.0
14.520,102.050,0.0
14.890,138.061,0.0
15.810,107.024,0.0
16.330,103.794,0.0
16.910,103.688,0.0
17.510,109.880,0.0
18.160,108.941,0.0
19.540,133.318,0.0
20.270,136.117,0.0
21.020,147.705,0.0
21.790,147.091,0.0
22.570,141.515,0.0
2.910,89.856,1.0
3.520,94.921,1.0
4.290,93.588,1.0
5.140,96.335,1.0
6.030,91.823,1.0
6.950,94.446,1.0
7.890,100.679,1.0
8.850,100.637,1.0
9.810,101.635,1.0
10.780,119.564,1.0
11.760,112.592,1.0
12.740,100.467,1.0
13.720,104.178,1.0
14.700,104.184,1.0
15.690,108.013,1.0
