distance,PL,category
21.330,94.305,1.0
21.660,94.501,1.0
22.000,94.312,1.0
22.350,94.250,1.0
22.700,94.279,1.0
23.050,94.560,1.0
23.410,95.229,1.0
23.780,95.222,1.0
24.150,94.277,1.0
21.660,94.517,1.0
21.990,104.311,1.0
22.320,103.252,1.0
22.660,101.234,1.0
23.010,98.994,1.0
23.360,97.087,1.0
23.710,95.630,1.0
24.070,94.953,1.0
24.440,94.660,1.0
22.000,94.305,1.0
22.320,103.252,1.0
22.650,99.520,1.0
22.990,99.157,1.0
23.330,97.410,1.0
23.670,95.885,1.0
24.020,95.436,1.0
24.380,95.072,1.0
24.740,94.576,1.0
22.350,94.255,1.0
22.660,101.234,1.0
22.990,99.157,1.0
23.310,97.846,1.0
23.650,96.090,1.0
23.990,95.909,1.0
24.340,94.681,1.0
24.690,94.025,1.0
25.050,94.475,1.0
22.700,94.278,1.0
23.010,98.994,1.0
23.330,97.410,1.0
23.650,96.090,1.0
23.980,96.023,1.0
24.320,94.598,1.0
24.660,94.431,1.0
25.010,93.506,1.0
25.360,94.157,1.0
23.050,94.567,1.0
23.360,97.087,1.0
23.670,95.885,1.0
23.990,95.909,1.0
24.320,94.598,1.0
24.650,94.005,1.0
24.990,93.980,1.0
25.330,93.320,1.0
25.680,93.715,1.0
23.410,95.227,1.0
23.710,95.630,1.0
24.020,95.436,1.0
24.340,94.681,1.0
24.660,94.431,1.0
24.990,93.980,1.0
25.320,93.063,1.0
25.660,93.325,1.0
26.000,93.351,1.0
23.780,95.227,1.0
24.070,94.953,1.0
24.380,95.072,1.0
24.690,94.025,1.0
25.010,93.506,1.0
25.330,93.320,1.0
25.660,93.325,1.0
25.990,92.630,1.0
26.330,93.121,1.0
24.150,94.277,1.0
24.440,94.660,1.0
24.740,94.576,1.0
25.050,94.475,1.0
25.360,94.157,1.0
25.680,93.715,1.0
26.000,93.351,1.0
26.330,93.121,1.0
26.660,94.133,1.0
16.230,90.776,1.0
16.300,92.215,1.0
16.380,91.641,1.0
16.480,90.592,1.0
16.590,90.665,1.0
16.720,90.585,1.0
16.860,91.380,1.0
17.020,91.307,1.0
17.180,92.776,1.0
16.660,89.434,1.0
16.730,86.823,1.0
16.810,86.876,1.0
16.910,86.917,1.0
17.020,86.981,1.0
17.140,87.181,1.0
17.280,87.508,1.0
17.430,88.055,1.0
17.590,88.773,1.0
17.100,89.454,1.0
17.160,87.528,1.0
17.240,87.576,1.0
17.340,87.629,1.0
17.440,87.982,1.0
17.570,88.449,1.0
17.700,88.950,1.0
17.850,89.185,1.0
18.010,89.753,1.0
17.540,90.112,1.0
17.600,88.553,1.0
17.680,88.786,1.0
17.770,88.882,1.0
17.880,88.935,1.0
17.990,89.418,1.0
18.130,90.006,1.0
18.270,90.332,1.0
18.430,91.193,1.0
17.980,90.427,1.0
18.040,89.577,1.0
18.120,89.668,1.0
18.210,89.917,1.0
18.310,90.487,1.0
18.430,90.893,1.0
18.550,91.122,1.0
18.690,91.766,1.0
18.850,93.425,1.0
18.430,91.509,1.0
18.490,91.125,1.0
18.560,91.319,1.0
18.650,91.417,1.0
18.750,91.827,1.0
18.860,92.433,1.0
18.990,92.626,1.0
19.120,93.526,1.0
19.270,95.722,1.0
18.880,91.892,1.0
18.940,92.578,1.0
19.010,92.767,1.0
19.090,93.397,1.0
19.190,93.909,1.0
19.300,94.087,1.0
19.420,95.188,1.0
19.560,95.242,1.0
19.700,98.751,1.0
19.330,93.194,1.0
19.390,94.913,1.0
19.460,94.881,1.0
19.540,95.447,1.0
19.630,96.400,1.0
19.740,96.530,1.0
19.860,97.652,1.0
19.990,98.216,1.0
20.140,102.747,1.0
19.780,93.932,1.0
19.840,98.801,1.0
19.910,99.062,1.0
19.990,100.584,1.0
20.080,101.290,1.0
20.190,101.963,1.0
20.300,104.558,1.0
20.430,105.895,1.0
20.570,123.734,1.0
17.700,91.756,1.0
17.910,93.879,1.0
18.140,93.153,1.0
18.370,92.254,1.0
18.620,92.427,1.0
18.870,92.741,1.0
19.140,93.216,1.0
19.410,94.295,1.0
19.700,95.904,1.0
18.100,93.524,1.0
18.310,90.195,1.0
18.530,90.796,1.0
18.760,91.607,1.0
19.000,92.721,1.0
19.250,94.254,1.0
19.510,95.866,1.0
19.780,97.330,1.0
20.060,96.406,1.0
18.500,91.809,1.0
18.700,91.821,1.0
18.920,92.266,1.0
19.140,93.648,1.0
19.380,95.050,1.0
19.630,95.744,1.0
19.880,97.011,1.0
20.150,100.122,1.0
20.420,99.552,1.0
18.910,91.761,1.0
19.110,93.126,1.0
19.320,94.577,1.0
19.540,95.162,1.0
19.770,97.134,1.0
20.010,98.624,1.0
20.260,100.022,1.0
20.520,104.086,1.0
20.790,102.214,1.0
19.320,93.024,1.0
19.510,95.698,1.0
19.720,96.580,1.0
19.940,97.272,1.0
20.160,100.297,1.0
20.400,101.418,1.0
20.650,106.055,1.0
20.900,107.458,1.0
21.160,108.727,1.0
19.740,91.348,1.0
19.930,97.792,1.0
20.130,99.462,1.0
