distance,PL,category
8.760,60.805,1.0
9.220,59.139,1.0
9.680,58.936,1.0
10.150,59.540,1.0
10.620,59.595,1.0
11.090,60.392,1.0
11.560,60.447,1.0
12.040,60.601,1.0
12.520,61.331,1.0
9.040,62.419,1.0
9.480,56.030,1.0
9.930,57.286,1.0
10.390,59.389,1.0
10.850,58.570,1.0
11.310,57.862,1.0
11.780,58.423,1.0
12.240,59.235,1.0
12.710,61.036,1.0
9.420,62.338,1.0
9.850,56.057,1.0
10.280,57.631,1.0
10.720,58.701,1.0
11.170,58.137,1.0
11.610,57.763,1.0
12.070,58.084,1.0
12.530,59.083,1.0
12.990,61.247,1.0
9.880,62.801,1.0
10.290,56.106,1.0
10.710,57.650,1.0
11.130,59.183,1.0
11.560,59.000,1.0
12.000,58.172,1.0
12.430,59.426,1.0
12.880,59.769,1.0
13.330,61.186,1.0
10.420,63.067,1.0
10.810,58.396,1.0
11.210,60.050,1.0
11.610,62.208,1.0
12.030,61.766,1.0
12.440,60.611,1.0
12.870,61.107,1.0
13.300,63.042,1.0
13.730,63.714,1.0
16.390,67.428,1.0
16.640,66.935,1.0
16.900,67.575,1.0
17.170,66.953,1.0
17.450,67.476,1.0
17.740,66.528,1.0
18.040,67.259,1.0
18.350,66.874,1.0
18.670,67.644,1.0
17.250,66.091,1.0
17.480,62.124,1.0
17.730,61.333,1.0
17.990,62.139,1.0
18.260,62.103,1.0
18.540,62.273,1.0
18.830,62.393,1.0
19.120,62.585,1.0
19.430,64.424,1.0
18.120,66.241,1.0
18.350,63.007,1.0
18.590,61.541,1.0
18.830,61.538,1.0
19.090,61.652,1.0
19.360,61.670,1.0
19.630,61.804,1.0
19.920,61.905,1.0
20.210,63.964,1.0
19.010,66.999,1.0
19.230,62.978,1.0
19.450,61.658,1.0
19.690,62.130,1.0
19.930,62.534,1.0
20.190,62.637,1.0
20.450,62.283,1.0
20.730,63.366,1.0
21.010,64.371,1.0
19.910,67.013,1.0
20.120,64.423,1.0
20.330,63.407,1.0
20.560,63.970,1.0
20.790,65.745,1.0
21.040,67.230,1.0
21.290,66.821,1.0
21.550,66.581,1.0
21.830,68.536,1.0
14.440,66.485,1.0
14.930,62.164,1.0
15.410,62.537,1.0
15.900,62.797,1.0
16.390,63.358,1.0
16.880,62.791,1.0
17.370,63.785,1.0
17.850,63.513,1.0
18.350,64.182,1.0
14.620,65.787,1.0
15.090,60.871,1.0
15.570,59.993,1.0
16.060,60.284,1.0
16.540,60.232,1.0
17.020,61.610,1.0
17.510,61.548,1.0
17.990,63.485,1.0
18.480,65.743,1.0
14.850,65.418,1.0
15.320,61.541,1.0
15.800,60.820,1.0
16.270,60.307,1.0
16.750,60.955,1.0
17.230,61.236,1.0
17.710,61.973,1.0
18.190,63.314,1.0
18.670,65.719,1.0
15.150,65.451,1.0
15.610,62.030,1.0
16.080,60.942,1.0
16.550,60.160,1.0
17.020,60.725,1.0
17.490,61.841,1.0
17.960,62.476,1.0
18.430,62.997,1.0
18.910,65.191,1.0
15.510,64.651,1.0
15.960,64.234,1.0
16.420,64.148,1.0
16.870,63.539,1.0
17.330,63.506,1.0
17.800,64.126,1.0
18.260,65.237,1.0
18.730,65.824,1.0
19.200,67.129,1.0
20.010,68.306,1.0
20.360,68.425,1.0
20.720,68.833,1.0
21.090,69.011,1.0
21.460,67.835,1.0
21.830,66.778,1.0
22.210,67.490,1.0
22.600,68.444,1.0
22.980,68.842,1.0
20.720,68.903,1.0
21.060,64.821,1.0
21.410,63.052,1.0
21.760,63.772,1.0
22.120,64.006,1.0
22.480,64.398,1.0
22.850,64.344,1.0
23.230,64.407,1.0
23.610,66.580,1.0
21.460,67.952,1.0
21.780,65.516,1.0
22.120,64.006,1.0
22.460,63.441,1.0
22.810,61.970,1.0
23.160,63.416,1.0
23.520,63.489,1.0
23.890,63.628,1.0
